year,SOI,IOD,SAM,IPO,PDO,SOIapril
1987,-1.4775,0.345166667,-0.149833333,1.203666667,1.118333333,-10.425
1988,0.736666667,0.052416667,-0.3215,-0.592416667,-0.0775,10.54166667
1989,0.616666667,-0.112833333,0.64,-0.665583333,-0.551666667,2.108333333
1990,-0.325833333,-0.009166667,-0.18125,-0.043083333,-0.856666667,-0.358333333
1991,-1.013333333,0.3545,-0.582083333,0.407916667,-0.933333333,-13.28333333
1992,-1.2275,-0.31525,-0.6385,0.82375,0.699166667,-7.525
1993,-1.106666667,0.084833333,0.567,0.78875,0.973333333,-8.383333333
1994,-1.353333333,0.620166667,0.059916667,0.4855,-0.534166667,-11.23333333
1995,-0.335833333,0.1355,0.1745,0.152583333,0.32,-0.691666667
1996,0.5625,-0.20725,-0.193583333,-0.180333333,0.61,5.125
1997,-1.288333333,0.666083333,-0.060583333,1.07125,1.223333333,-18.34166667
1998,-0.224166667,0.092416667,0.778583333,0.058083333,-0.450833333,7.608333333
1999,0.786666667,0.188666667,0.631833333,-1.234166667,-1.7825,7.475
2000,0.7225,0.2245,-0.120416667,-0.859416667,-1.130833333,7.766666667
2001,-0.078333333,0.12725,0.353166667,-0.537333333,-1.129166667,-1.333333333
2002,-0.723333333,0.169166667,-0.60175,0.212833333,-0.4925,-7.933333333
2003,-0.426666667,0.2115,-0.223083333,0.224333333,0.32,-2.025
2004,-0.633333333,0.11225,0.188583333,0.089583333,-0.354166667,-6.808333333
2005,-0.456666667,-0.04275,-0.197416667,-0.217083333,-0.279166667,0.866666667
2006,-0.2825,0.329416667,0.257166667,0.108333333,-0.464166667,-5.316666667
2007,0.035,0.351416667,-0.468333333,-0.441333333,-0.778333333,6.25
2008,0.9975,0.307666667,0.67075,-0.834666667,-1.7475,8.183333333
2009,-0.131666667,0.284833333,-0.1925,0.086416667,-1.085,-5.291666667
2010,0.944166667,0.2095,0.786416667,-0.66725,-1.148333333,18.05
2011,1.395833333,0.435916667,-0.054666667,-1.122,-1.914166667,9.233333333
2012,-0.18,0.358833333,0.133166667,-0.268416667,-1.6575,-1.516666667
2013,0.345833333,0.1145,0.031666667,-0.590583333,-1.213333333,3.3
2014,-0.381666667,0.14725,0.079083333,0.063416667,0.483333333,-4.366666667
2015,-1.174166667,0.412833333,0.714083333,0.965,0.933333333,-13.375
2016,-0.456666667,0.006916667,0.566833333,0.1775,0.5475,0.95
2017,0.109166667,0.513,0.446,-0.348166667,-0.103333333,2.916666667
2018,0.066666667,,0.42875,-0.49375,-0.456666667,-1.908333333
